name,color
Abhimanyu,#087FBD
Adhiratha,#F02233
Ahilawati,#FDBB30
Amba,#8091ab
Ambika,#8091ab
Ambalika,#8091ab
Arjuna,#8091ab
Ashtabharya Draws,#8091ab
Ashwatthama,#8091ab
Babruvahana,#8091ab
Balarama,#8091ab
Barbarika,#8091ab
Bhagadatta,#8091ab
Bharata,#8091ab
Bhima,#8091ab
Bhishma,#8091ab
Bhurishravas,#8091ab
Chitrangada,#8091ab
Devika,#8091ab
Dhrishtadyumna,#8091ab
Dhritarashtra,#8091ab
Draupadi,#8091ab
Drona,#8091ab
Drupada,#8091ab
Duhsala,#8091ab
Duryodhana,#8091ab
Dushasana,#8091ab
Dushyanta,#8091ab
Gandhari,#8091ab
Ganges,#8091ab
Ghatotkacha,#8091ab
Hidimbi,#8091ab
Indra,#8091ab
Iravan,#8091ab
Janamejaya,#8091ab
Jarasandha,#8091ab
Jayadratha,#8091ab
Kakudmi,#8091ab
Karna,#8091ab
Kichaka,#8091ab
Kripa,#8091ab
Krishna,#8091ab
Kritavarma,#8091ab
Kunti,#8091ab
Kunti-Bhoja,#8091ab
Laxman Kumara,#8091ab
Madri,#8091ab
Nahusha,#8091ab
Nakula,#8091ab
Panchjana,#8091ab
Pandu,#8091ab
Parikshita,#8091ab
Prapaksha Kamboja,#8091ab
Purochana,#8091ab
Radha,#8091ab
Revati,#8091ab
Rukmi,#8091ab
Sahadeva,#8091ab
Sanjaya,#8091ab
Satyaki,#8091ab
Satyavati,#8091ab
Shakuni,#8091ab
Shakuntala,#8091ab
Shalya,#8091ab
Shantanu,#8091ab
Shikhandi,#8091ab
Shurusena,#8091ab
Subhadra,#8091ab
Sudakshina,#8091ab
Sudeshna,#8091ab
Takshaka,#8091ab
Tilottama,#8091ab
Tumburu,#8091ab
Uluka,#8091ab
Ulupi,#8091ab
Upapandavas,#8091ab
Uttara,#8091ab
Uttar,#8091ab
Vasudeva,#8091ab
Vichitravirya,#8091ab
Vidura,#8091ab
Vikarna,#8091ab
Virata,#8091ab
Vrushali,#8091ab
Vyasa,#8091ab
Yudhishthira,#8091ab
Yuyutsu,#8091ab